ID,英文名稱,中文名稱,圖片,備註,更新日期
3635064,complementary event,餘事件,,,2018-12-17
3635065,complementary set,餘集[合],,,2018-12-17
3635066,completing the square,配方[法],,,2018-12-17
3635067,complex conjugate,共軛複數,,,2018-12-17
3635068,complex fraction,繁分數；繁分式,,,2018-12-17
3635069,complex number,複數,,,2018-12-17
3635070,complex plane,複數平面,,,2018-12-17
3635071,component,分量；連通[分]支；連通區,,,2018-12-17
3635072,composite function,合成函數,,,2018-12-17
3635073,composite number,合數,,,2018-12-17
3635074,compound interest,複利,,,2018-12-17
3635075,compound number,複名數,,,2018-12-17
3635076,concave downward,凹口向下,,,2018-12-17
3635077,concave upward,凹口向上,,,2018-12-17
3635078,concavity,凹性,,,2018-12-17
3635079,conditional inequality,條件不等式,,,2018-12-17
3635080,conditional probability,條件機率,,,2018-12-17
3635081,cone,錐；錐面,,,2018-12-17
3635082,confidence interval,信賴區間,,,2018-12-17
3635083,confidence level,信心水準,,,2018-12-17
3635084,congruence,同餘；疊合；全等；線匯,,,2018-12-17
3635085,conic section,圓錐截痕,,,2018-12-17
3635086,conjugate axis,共軛軸,,,2018-12-17
3635087,conjugate complex number,共軛複數,,,2018-12-17
3635088,conjugate hyperbola,共軛雙曲線,,,2018-12-17
3635089,consistent equations,相容方程[組],,,2018-12-17
3635090,consistent system of equations,相容方程組,,,2018-12-17
3635091,constant function,常數函數,,,2018-12-17
3635092,constant term,常數項,,,2018-12-17
3635093,contingency table,列聯表,,,2018-12-17
3635094,continuous data,連續數據,,,2018-12-17
3635095,continuous function,連續函數,,,2018-12-17
3635096,convergence,收斂,,,2018-12-17
3635097,convergent sequence,收斂序列；收斂數列,,,2018-12-17
3635098,convergent series,收斂級數,,,2018-12-17
3635099,coordinate,坐標,,,2018-12-17
3635100,coordinate axis,坐標軸,,,2018-12-17
3635101,coordinate plane,坐標平面,,,2018-12-17
3635102,coordunate representation,坐標表示法,,,2018-12-17
3635103,coprime,互質,,,2018-12-17
3635104,correlation coefficient,相關係數,,,2018-12-17
3635105,cosecant,餘割,,,2018-12-17
3635106,cosecant function,餘割函數,,,2018-12-17
3635107,cosine,餘弦,,,2018-12-17
3635108,cotangent,餘切,,,2018-12-17
3635109,cotangent function,餘切函數,,,2018-12-17
3635110,coterminal angles,同界角,,,2018-12-17
3635111,counterclockwise,逆時針的,,,2018-12-17
3635112,counterclockwise direction,逆時針方向,,,2018-12-17
3635113,Cramer's formula,克拉瑪公式,,,2018-12-17
3635114,Cramer's rule,克拉瑪法則,,,2018-12-17
3635115,critical point,臨界點,,,2018-12-17
3635116,critical value,臨界值,,,2018-12-17
3635117,cross analysis,交叉分析,,,2018-12-17
3635118,cross product,叉積；向量積；外積,,,2018-12-17
3635119,cube,立方；立方體,,,2018-12-17
3635120,cubic,三次的,,,2018-12-17
3635121,cubic root,立方根,,,2018-12-17
3635122,cuboid,長方體,,,2018-12-17
3635123,cumulative frequency,累積次數；累積頻率,,,2018-12-17
3635124,cumulative frequency curve,累積次數曲線,,,2018-12-17
3635125,cumulative frequency distribution,累積次數分配,,,2018-12-17
3635126,cumulative relative frequency,累積相對次數,,,2018-12-17
3635127,cumulative relative frequency polygon,累積相對次數折線圖,,,2018-12-17
3635128,cylinder,柱；柱面,,,2018-12-17
3635129,data,資料；數據,,,2018-12-17
3635130,De Moivre formula,棣美弗公式,,,2018-12-17
3635131,De Morgan law,笛摩根法則,,,2018-12-17
3635132,decimal,小數；十進制小數,,,2018-12-17
3635133,decimal point,小數點,,,2018-12-17
3635134,definite integral,定積分,,,2018-12-17
3635135,degree,次[數]；度[數],,,2018-12-17
3635136,degree measure,角度[法],,,2018-12-17
3635137,denominator,分母,,,2018-12-17
3635138,denseness,稠密性,,,2018-12-17
3635139,density,密度；稠密性,,,2018-12-17
3635140,dependent events,相依事件,,,2018-12-17
3635141,dependent system of equations,相依方程組,,,2018-12-17
3635142,dependent variable,應變數；依變數；因變數；應變量,,,2018-12-17
3635143,derivative,導數,,,2018-12-17
3635144,derivatives of higher order,高階導數,,,2018-12-17
3635145,"Descartes, Rene",笛卡兒,,,2018-12-17
3635146,descending power,降冪,,,2018-12-17
3635147,descriptive statistics,敘述統計[學],,,2018-12-17
3635148,determinant,行列式,,,2018-12-17
3635149,determinant of order n,n階行列式,,,2018-12-17
3635150,determinantal expansion,行列式的展開式,,,2018-12-17
3635151,deviation,偏差,,,2018-12-17
3635152,diameter,直徑,,,2018-12-17
3635153,difference,差；差分,,,2018-12-17
3635154,difference of events,差事件,,,2018-12-17
3635155,difference set,差集,,,2018-12-17
3635156,differentiable,可微[分]的,,,2018-12-17
3635157,differentiable function,可微[分]函數,,,2018-12-17
3635158,digit,數字,,,2018-12-17
3635159,dihedral angle,二面角,,,2018-12-17
3635160,direct proof,直接證明,,,2018-12-17
3635161,directed angle,有向角,,,2018-12-17
3635162,directed line segment,有向線段,,,2018-12-17
3635163,direction,方向,,,2018-12-17
3635164,direction angle,方向角,,,2018-12-17
3635165,direction cosine,方向餘弦,,,2018-12-17
3635166,direction vector,方向向量,,,2018-12-17
3635167,directrix,準線,,,2018-12-17
3635168,disc method,圓盤法,,,2018-12-17
3635169,discrete data,離散數據,,,2018-12-17
3635170,discreteness of integers,整數的離散性,,,2018-12-17
3635171,discriminant,判別式,,,2018-12-17
3635172,disjoint events,互斥事件；分離事件；不相容事件,,,2018-12-17
3635173,disk method,圓盤法,,,2018-12-17
3635174,displacement,位移,,,2018-12-17
3635175,distance,距離,,,2018-12-17
3635176,distance formula,距離公式,,,2018-12-17
3635177,distributive law,分配律,,,2018-12-17
3635178,divergence,發散[性]；散度；發散量,,,2018-12-17
3635179,divergent sequence,發散數列；發散序列,,,2018-12-17
3635180,divergent series,發散級數,,,2018-12-17
3635181,dividend,被除數；被除式,,,2018-12-17
3635182,division,除[法],,,2018-12-17
3635183,division algorithm,除法算則；長除法,,,2018-12-17
3635184,divisor,因子；因式；因數；除數,,,2018-12-17
3635185,domain,[區]域；定義域,,,2018-12-17
3635186,domain of definition,定義域,,,2018-12-17
3635187,domain of function,函數的定義域,,,2018-12-17
3635188,double angle formula,倍角公式,,,2018-12-17
3635189,double root,二重根,,,2018-12-17
3635190,edge,稜；邊,,,2018-12-17
3635191,element,元素,,,2018-12-17
3635192,elementary event,基本事件,,,2018-12-17
3635193,elimination by addition or subtraction,加減消去法,,,2018-12-17
3635194,elimination by comparison,比較消去法,,,2018-12-17
3635195,elimination by substitution,代入消去法,,,2018-12-17
3635196,ellipse,橢圓,,,2018-12-17
3635197,empty set,空集[合],,,2018-12-17
3635198,equation,方程[式],,,2018-12-17
3635199,equation of line,直線方程式,,,2018-12-17
3635200,equation of sphere,球面方程式,,,2018-12-17
3635201,equation of tangent line,切線方程式,,,2018-12-17
3635202,equator,赤道,,,2018-12-17
3635203,equilateral hyperbola,等軸雙曲線,,,2018-12-17
3635204,equilateral triangle,等邊三角形；正三角形,,,2018-12-17
3635205,Euclid (約330-275B.C),歐幾里得,,,2018-12-17
3635206,Euclidean algorithm,輾轉相除法；歐幾里得算法；歐氏算法,,,2018-12-17
3635207,Euclidean geometry,歐氏幾何[學],,,2018-12-17
3635208,"Euler, Leonhard (1707-1783)",尤拉,,,2018-12-17
3635209,even function,偶函數,,,2018-12-17
3635210,even number,偶數,,,2018-12-17
3635211,event,事件,,,2018-12-17
3635212,exclusive,互斥[的],,,2018-12-17
3635213,expectation,期望值,,,2018-12-17
3635214,expected value,期望值,,,2018-12-17
3635215,experiment,試驗；實驗,,,2018-12-17
3635216,exponent,指數；指標,,,2018-12-17
3635217,exponential function,指數函數,,,2018-12-17
3635218,exponential law,指數律,,,2018-12-17
3635219,exterior,外部；外部的,,,2018-12-17
3635220,exterior angle,外角,,,2018-12-17
3635221,extreme value,極值,,,2018-12-17
3635222,factor,因數；因式；因子；因素；商,,,2018-12-17
3635223,factor theorem,因式定理,,,2018-12-17
3635224,factorial,階乘；析因,,,2018-12-17
3635225,factorization,因子分解；因式分解,,,2018-12-17
3635226,feasible region,可行解區域,,,2018-12-17
3635227,feasible solution,可行解；容許解,,,2018-12-17
3635228,Fermat theorem,費馬定理,,,2018-12-17
3635229,finishing point,終點,,,2018-12-17
3635230,finite decimal,有限小數,,,2018-12-17
3635231,finite sequence,有限序列；有限數列,,,2018-12-17
3635232,finite series,有限級數,,,2018-12-17
3635233,finite set,有限集[合],,,2018-12-17
3635234,first octant,第一卦限,,,2018-12-17
3635235,first quartile,第一四分位數,,,2018-12-17
3635236,first term,首項,,,2018-12-17
3635237,focal chord,焦弦,,,2018-12-17
3635238,focal length,焦距,,,2018-12-17
3635239,focal radius,焦半徑,,,2018-12-17
3635240,focus,焦點,,,2018-12-17
3635241,formula of changing bases,換底公式,,,2018-12-17
3635242,formula of inner division point,內分點公式,,,2018-12-17
3635243,formula of outer division point,外分點公式,,,2018-12-17
3635244,four fundamental operations of arithmetic,算術四則運算,,,2018-12-17
3635245,fraction,分數；分式,,,2018-12-17
3635246,fraction in lowest term,最簡分數,,,2018-12-17
3635247,frequency distribution,次數分布；次數分配,,,2018-12-17
3635248,function,函數；功能；作用,,,2018-12-17
3635249,functional value,函數值,,,2018-12-17
3635250,fundamental theorem of algebra,代數基本定理,,,2018-12-17
3635251,fundamental theorem of calculus,微積分基本定理,,,2018-12-17
3635252,Gaussian elimination,高斯消去法,,,2018-12-17
3635253,Gaussian function,高斯函數,,,2018-12-17
3635254,Gaussian plane,高斯平面,,,2018-12-17
3635255,general term,通項；一般項,,,2018-12-17
3635256,generalized angle,廣義角,,,2018-12-17
3635257,generating line,生成線；母線,,,2018-12-17
3635258,geometric mean,幾何平均數；幾何平均值；等比中項,,,2018-12-17
3635259,geometric progression,等比數列,,,2018-12-17
3635260,geometric sequence,等比數列,,,2018-12-17
3635261,geometric series,幾何級數；等比級數,,,2018-12-17
3635262,gram,公克,,,2018-12-17
3635263,graph of function,函數圖形,,,2018-12-17
3635264,great circle of sphere,球的大圓,,,2018-12-17
3635265,greater than,大於,,,2018-12-17
3635266,greatest common divisor,最大公因子；最大公因數,,,2018-12-17
3635267,greatest common factor,最大公因子；最大公因數,,,2018-12-17
3635268,guadrant angle,象限角,,,2018-12-17
3635269,half angle formula,半角公式,,,2018-12-17
3635270,half line,半[直]線；射線,,,2018-12-17
3635271,Heron formula,海龍公式,,,2018-12-17
