ID,英文名稱,中文名稱,圖片,備註,更新日期
3635490,positive angle,正角,,,2018-12-17
3635491,positive correlation,正相關,,,2018-12-17
3635492,positive integer,正整數,,,2018-12-17
3635493,power,[乘]冪；次方；功率,,,2018-12-17
3635494,power function,冪函數；檢定力函數,,,2018-12-17
3635495,prime,質；質式；質數,,,2018-12-17
3635496,prime factor,質因子；質因數；質因式,,,2018-12-17
3635497,prime number,質數,,,2018-12-17
3635498,principal argument,主輻角,,,2018-12-17
3635499,principle of inclusion and exclusion,取捨原理；排容原理,,,2018-12-17
3635500,probability,機率,,,2018-12-17
3635501,probability distribution,機率分布；機率分配,,,2018-12-17
3635502,product set,積集合,,,2018-12-17
3635503,projection,射影；射影算子；投影,,,2018-12-17
3635504,pure imaginary number,純虛數,,,2018-12-17
3635505,pyramid,稜錐[體]；角錐[體],,,2018-12-17
3635506,Pythagoras,畢達哥拉斯,,,2018-12-17
3635507,Pythagorean identity,平方關係式；平方恆等式,,,2018-12-17
3635508,Pythagorean theorem,畢氏定理；商高定理；勾股[弦]定理,,,2018-12-17
3635509,quadrangular pyramid,四角錐,,,2018-12-17
3635510,quadrant,象限,,,2018-12-17
3635511,quadrant angle,象限角,,,2018-12-17
3635512,quadratic function,二次函數,,,2018-12-17
3635513,quadratic inequality,二次不等式,,,2018-12-17
3635514,qualitative data,定性數據,,,2018-12-17
3635515,quantitative data,定量數據,,,2018-12-17
3635516,quartile,四分位數,,,2018-12-17
3635517,quartile range,四分位距,,,2018-12-17
3635518,quotient,商[數]；商式,,,2018-12-17
3635519,quotient identity,商數關係式；商數恆等式,,,2018-12-17
3635520,quotient relation,商數關係式,,,2018-12-17
3635521,radian,弧度；弳[度],,,2018-12-17
3635522,radian measure,弧度；弧度法,,,2018-12-17
3635523,radian system,弧度制；弳度制,,,2018-12-17
3635524,radical,根數；根式；根基,,,2018-12-17
3635525,radius,半徑,,,2018-12-17
3635526,random experiment,隨機試驗,,,2018-12-17
3635527,random numbers table,亂數表；隨機號碼表,,,2018-12-17
3635528,random variable,隨機變數,,,2018-12-17
3635529,range,區域；範圍；值域；全距,,,2018-12-17
3635530,range of values,值域,,,2018-12-17
3635531,ratio of the circumference of a circle to its diameter,圓周率；π,,,2018-12-17
3635532,rational exponent,有理指數,,,2018-12-17
3635533,rational number,有理數,,,2018-12-17
3635534,rational point,有理點,,,2018-12-17
3635535,rational root,有理根,,,2018-12-17
3635536,ray,射線,,,2018-12-17
3635537,real number,實數,,,2018-12-17
3635538,real part,實部,,,2018-12-17
3635539,reciprocal identity,倒數關係式；倒數恆等式,,,2018-12-17
3635540,reciprocal relation,倒數關係,,,2018-12-17
3635541,rectangle,長方形；矩形,,,2018-12-17
3635542,rectangular Cartesian coordinates,直角坐標,,,2018-12-17
3635543,rectangular coordinates,直角坐標,,,2018-12-17
3635544,rectangular parallelopiped,長方體,,,2018-12-17
3635545,recurrence formula,遞迴公式,,,2018-12-17
3635546,recurring period,循環節,,,2018-12-17
3635547,recursion formula,遞迴公式,,,2018-12-17
3635548,recursive relation,遞迴關係,,,2018-12-17
3635549,reference angle,參考角,,,2018-12-17
3635550,regression line,迴歸線,,,2018-12-17
3635551,regular parabolic arch,正拋物線拱形,,,2018-12-17
3635552,regular tetrahedron,正四面體,,,2018-12-17
3635553,relative extremum,相對極值,,,2018-12-17
3635554,relative frequency polygon,相對次數折線圖,,,2018-12-17
3635555,relative maximum；relative maximum value,相對極大[值],,,2018-12-17
3635556,relative minimum；relative minimum value,相對極小[值],,,2018-12-17
3635557,relatively prime,互質,,,2018-12-17
3635558,remainder,餘數；餘式；餘項；剩餘,,,2018-12-17
3635559,remainder theorem,餘式定理,,,2018-12-17
3635560,repeated combination,重複組合,,,2018-12-17
3635561,repeated permutation,重複排列,,,2018-12-17
3635562,repeated root,重根,,,2018-12-17
3635563,repeated systematic sampling,重複系統抽樣,,,2018-12-17
3635564,repeating decimal,循環小數,,,2018-12-17
3635565,representation in coordinates,坐標表示[法],,,2018-12-17
3635566,resonance,共鳴；共振,,,2018-12-17
3635567,resultant force,合力,,,2018-12-17
3635568,Riemann sum,黎曼和,,,2018-12-17
3635569,right angle,直角,,,2018-12-17
3635570,right cone,正圓錐,,,2018-12-17
3635571,right cylinder,正圓柱面,,,2018-12-17
3635572,right dihedral angle,直二面角,,,2018-12-17
3635573,right limit；right-hand limit；right handed limit,右極限,,,2018-12-17
3635574,right triangle,直角三角形,,,2018-12-17
3635575,root,根,,,2018-12-17
3635576,row,列,,,2018-12-17
3635577,row matrix,列矩陣,,,2018-12-17
3635578,row operation,列運算,,,2018-12-17
3635579,rule,法[則]；規則；律,,,2018-12-17
3635580,rule of addition,加法原理,,,2018-12-17
3635581,rule of total probability,全機率法則,,,2018-12-17
3635582,ruler,直尺,,,2018-12-17
3635583,sample,樣本,,,2018-12-17
3635584,sample mean,樣本平均數[值],,,2018-12-17
3635585,sample point,樣本點,,,2018-12-17
3635586,sample size,樣本大小,,,2018-12-17
3635587,sample space,樣本空間,,,2018-12-17
3635588,sample standard deviation,樣本標準差,,,2018-12-17
3635589,sample survey,樣本調查,,,2018-12-17
3635590,sample variance,樣本變異數,,,2018-12-17
3635591,sampling,抽樣,,,2018-12-17
3635592,scalar,純量,,,2018-12-17
3635593,scalar multiplication,純量乘法；係數積,,,2018-12-17
3635594,scatter diagram,散布圖,,,2018-12-17
3635595,scientific notation,科學記法；科學記號,,,2018-12-17
3635596,secant,正割；割線,,,2018-12-17
3635597,secant function,正割函數,,,2018-12-17
3635598,secant line,割線,,,2018-12-17
3635599,second,秒,,,2018-12-17
3635600,second quartile,第二四分位數,,,2018-12-17
3635601,sector,扇形,,,2018-12-17
3635602,series,級數,,,2018-12-17
3635603,series of decreasing powers,降冪級數,,,2018-12-17
3635604,set,集[合],,,2018-12-17
3635605,sexagesimal system,六十進位制,,,2018-12-17
3635606,side,邊；側,,,2018-12-17
3635607,sign of equality,等號,,,2018-12-17
3635608,significant figure,有效數[字],,,2018-12-17
3635609,similar triangles,相似三角形,,,2018-12-17
3635610,simple random sampling,簡單隨機抽樣,,,2018-12-17
3635611,simple root,單根,,,2018-12-17
3635612,sine,正弦,,,2018-12-17
3635613,sine function,正弦函數,,,2018-12-17
3635614,skew lines,歪斜線,,,2018-12-17
3635615,skew matrix,反對稱矩陣；斜矩陣,,,2018-12-17
3635616,skew symmetric matrix,斜對稱方陣,,,2018-12-17
3635617,slope,斜率,,,2018-12-17
3635618,slope function,斜率函數,,,2018-12-17
3635619,slope-intercept form,斜截式,,,2018-12-17
3635620,smaller than,小於,,,2018-12-17
3635621,smooth curve,平滑曲線,,,2018-12-17
3635622,solid cone,立體錐；錐體,,,2018-12-17
3635623,solid of revolution,旋轉體；迴轉體,,,2018-12-17
3635624,solid sphere,實心球,,,2018-12-17
3635625,south pole,南極,,,2018-12-17
3635626,space,空間,,,2018-12-17
3635627,space coordinate system,空間坐標系,,,2018-12-17
3635628,sphere,球[形]；球面,,,2018-12-17
3635629,square,正方形；平方,,,2018-12-17
3635630,square relation,平方關係,,,2018-12-17
3635631,square root,平方根,,,2018-12-17
3635632,squeeze theorem,夾擠定理,,,2018-12-17
3635633,standard deviation,標準差,,,2018-12-17
3635634,standard factorization,標準分解[式],,,2018-12-17
3635635,standard form,標準[形]式,,,2018-12-17
3635636,standard score,標準計分,,,2018-12-17
3635637,standardization,標準化,,,2018-12-17
3635638,statistical graph,統計圖,,,2018-12-17
3635639,statistical inference,統計推論,,,2018-12-17
3635640,statistical table,統計表,,,2018-12-17
3635641,statistics,統計學,,,2018-12-17
3635642,straight line correlation,直線相關,,,2018-12-17
3635643,stratified random sampling,分層隨機抽樣[法],,,2018-12-17
3635644,stratified random sampling method,分層隨機抽樣法,,,2018-12-17
3635645,stratified sampling,分層抽樣,,,2018-12-17
3635646,strictly decreasing function,嚴格遞減函數,,,2018-12-17
3635647,strictly increasing function,嚴格遞增函數,,,2018-12-17
3635648,subset,子集合,,,2018-12-17
3635649,subtraction,減法,,,2018-12-17
3635650,subtraction of vectors,向量的減法,,,2018-12-17
3635651,subtrahend,減數,,,2018-12-17
3635652,success probability,成功機率,,,2018-12-17
3635653,sum,和；總數,,,2018-12-17
3635654,sum event,和事件,,,2018-12-17
3635655,summand,被加數；被加項,,,2018-12-17
3635656,sum-to-product formula,和差化積公式,,,2018-12-17
3635657,supplementary angle,補角,,,2018-12-17
3635658,sure event,必然事件,,,2018-12-17
3635659,surface,曲面,,,2018-12-17
3635660,symmetric equation of line,直線對稱式,,,2018-12-17
3635661,symmetric form,對稱形式,,,2018-12-17
3635662,symmetric matrix,對稱方陣；對稱矩陣,,,2018-12-17
3635663,synthetic division,綜合除法,,,2018-12-17
3635664,system of equations,方程組,,,2018-12-17
3635665,system of linear equations in three unknowns,三元一次方程組,,,2018-12-17
3635666,system of linear equations in two unknowns,二元一次方程組,,,2018-12-17
3635667,systematic sampling,系統抽樣,,,2018-12-17
3635668,table of logarithm,對數表,,,2018-12-17
3635669,table of random numbers,亂數表；隨機號碼表,,,2018-12-17
3635670,table of trigonometric function,三角函數表,,,2018-12-17
3635671,tangent,正切；切線,,,2018-12-17
3635672,tangent function,正切函數,,,2018-12-17
3635673,tangent line,切線,,,2018-12-17
3635674,tangent plane,切平面,,,2018-12-17
3635675,tangential equation of curve,曲線的切線方程式,,,2018-12-17
3635676,term,項,,,2018-12-17
3635677,terminal point,終點,,,2018-12-17
3635678,terminal side,終邊,,,2018-12-17
3635679,terminating decimal,有限小數,,,2018-12-17
3635680,test,檢驗；試驗；測驗；檢定,,,2018-12-17
3635681,tetrahedron,四面形；四面體,,,2018-12-17
3635682,theorem of three perpendicular lines,三垂線定理,,,2018-12-17
3635683,third quartile,第三四分位數,,,2018-12-17
3635684,times,倍；乘,,,2018-12-17
3635685,transition matrix,轉移矩陣,,,2018-12-17
3635686,transitive law,遞移律,,,2018-12-17
3635687,translation,平移,,,2018-12-17
3635688,transversal axis,橫截軸；貫軸,,,2018-12-17
3635689,trapezoidal method,梯形法,,,2018-12-17
3635690,triangle,三角形,,,2018-12-17
3635691,triangle inequality,三角[形]不等式,,,2018-12-17
3635692,triangular pyramid,三角錐；三稜錐,,,2018-12-17
3635693,triangulation,三角剖分；三角測量,,,2018-12-17
3635694,trichotomy law,三一律,,,2018-12-17
3635695,trigonometric function,三角函數,,,2018-12-17
3635696,trigonometry,三角學,,,2018-12-17
3635697,triple-angle formula,三倍角公式,,,2018-12-17
3635698,two-point form,兩點式,,,2018-12-17
3635699,union,聯[集]；併,,,2018-12-17
3635700,unit circle,單位圓,,,2018-12-17
3635701,unit length,單位長,,,2018-12-17
3635702,unit vector,單位向量,,,2018-12-17
3635703,univariate polynomial,單變數多項式；一元多項式,,,2018-12-17
3635704,universal set,宇集,,,2018-12-17
3635705,unknown,未知元；未知數；未知量,,,2018-12-17
3635706,unknown number,未知數,,,2018-12-17
3635707,upper limit,上極限,,,2018-12-17
3635708,upper sum,上和,,,2018-12-17
3635709,variable,變量；變數；變元；變項,,,2018-12-17
3635710,variance,變異數,,,2018-12-17
3635711,vector,向量,,,2018-12-17
3635712,velocity,速度,,,2018-12-17
3635713,Venn diagram,文氏圖,,,2018-12-17
3635714,vertex,頂點,,,2018-12-17
3635715,vertical,鉛垂的；頂點的,,,2018-12-17
3635716,vertical line,鉛直線,,,2018-12-17
3635717,wave crest,波峰,,,2018-12-17
3635718,wave trough,波谷,,,2018-12-17
3635719,weight,權[重]函數,,,2018-12-17
3635720,weighted mean,加權平均[值]；加權平均數,,,2018-12-17
3635721,whole number,非負整數,,,2018-12-17
3635722,work,功,,,2018-12-17
3635723,x-coordinate,x坐標,,,2018-12-17
3635724,x-intercept,x截距,,,2018-12-17
3635725,xy-plane,xy平面,,,2018-12-17
3635726,y-coordinate,y坐標,,,2018-12-17
3635727,year,年,,,2018-12-17
3635728,y-intercept,y截距,,,2018-12-17
3635729,zero,零；零位；零點,,,2018-12-17
3635730,zero divisor,零因子,,,2018-12-17
3635731,zero function,零函數,,,2018-12-17
3635732,zero matrix,零矩陣,,,2018-12-17
3635733,zero polynomial,零多項式,,,2018-12-17
3635734,zero vector,零向量,,,2018-12-17
3635735,z-intercept,z截距,,,2018-12-17
