ID,英文名稱,中文名稱,圖片,更新時間,更新日期
5462110,allergic rhinitis,過敏性鼻炎,,,2019-10-31
5462111,allergy,過敏,,,2019-10-31
5462112,allicin,蒜素,,,2019-10-31
5462113,allopatric speciation,異域種化；異域成種作用,,,2019-10-31
5462114,allopolyploid,異源多倍體；異源多倍體的,,,2019-10-31
5462115,allopolyploidy,異源多倍性,,,2019-10-31
5462116,all-or-none law,全有全無律,,,2019-10-31
5462117,alpha helix {α helix},阿法螺旋；α螺旋,,,2019-10-31
5462118,alpine tundra,高山凍原,,,2019-10-31
5462119,alternate,互生[的] {植物},,,2019-10-31
5462120,alternation of generations,世代交替,,,2019-10-31
5462121,alternative splicing,選擇式剪接,,,2019-10-31
5462122,altruistic behaviour ,利他行為,,,2019-10-31
5462123,alveolar macrophage,肺泡巨噬細胞,,,2019-10-31
5462124,alveolus {pl. alveoli},肺泡；乳泡,,,2019-10-31
5462125,always-opened channel {non-gated channel},常開通道,,,2019-10-31
5462126,Alzheimer's disease,阿滋海默[氏]症,,,2019-10-31
5462127,amine,胺類,,,2019-10-31
5462128,amino acid,胺基酸,,,2019-10-31
5462129,amino acid sequence,胺基酸序列,,,2019-10-31
5462130,amino group,胺基,,,2019-10-31
5462131,aminoacyl site {=A site},A位；胺醯位,,,2019-10-31
5462132,ammonia,氨,,,2019-10-31
5462133,ammonification,成氨作用；氨化作用,,,2019-10-31
5462134,amnesia,健忘症,,,2019-10-31
5462135,amniocentesis,羊膜穿刺,,,2019-10-31
5462136,amnion,羊膜,,,2019-10-31
5462137,amniotic fluid,羊水,,,2019-10-31
5462138,Amoeba,變形蟲[屬],,,2019-10-31
5462139,amoeba,變形蟲,,,2019-10-31
5462140,amoebalike eukaryot,變形蟲狀真核細胞,,,2019-10-31
5462141,AMP {adenosine 5'-monophosphate},腺[核]苷單磷酸,,,2019-10-31
5462142,Amphibia,兩生綱；兩棲綱,,,2019-10-31
5462143,amplexus,假交配,,,2019-10-31
5462144,ampulla,壺腹,,,2019-10-31
5462145,amygdala,杏仁核；杏仁體,,,2019-10-31
5462146,amylase,澱粉酶,,,2019-10-31
5462147,amyloid,類澱粉蛋白,,,2019-10-31
5462148,amyloplast,澱粉體,,,2019-10-31
5462149,An Essay on the Principle of Population,人口論,,,2019-10-31
5462150,Anabaena,念球藻,,,2019-10-31
5462151,anabolism,合成代謝；同化代謝,,,2019-10-31
5462152,analogous structure,同功構造,,,2019-10-31
5462153,anaphase,後期 {細胞周期},,,2019-10-31
5462154,anatomy,解剖學,,,2019-10-31
5462155,androgen,雄性[激]素,,,2019-10-31
5462156,androsterone,雄固酮,,,2019-10-31
5462157,anemophilous flower {wind-pollinated flower},風媒花,,,2019-10-31
5462158,aneuploid,非整倍體,,,2019-10-31
5462159,aneuploidy,非整倍體[性],,,2019-10-31
5462160,angina pectoris,心絞痛,,,2019-10-31
5462161,angiosperm,被子植物,,,2019-10-31
5462162,angiotensin,血管收縮素,,,2019-10-31
5462163,angiotensin II,第二型血管收縮素,,,2019-10-31
