ID,英文名稱,中文名稱,圖片,備註,更新日期
3630664,combination reaction,化合反應,,,2018-12-17
3630665,combustion,燃燒,,,2018-12-17
3630666,combustion analysis,燃燒分析,,,2018-12-17
3630667,combustion analysis method,燃燒分析法,,,2018-12-17
3630668,common ion effect,[共]同離子效應,,,2018-12-17
3630669,common salt,食鹽,,,2018-12-17
3630670,complex,錯合物,,,2018-12-17
3630671,compound,化合物,,,2018-12-17
3630672,concentration,濃度；濃縮,,,2018-12-17
3630673,condensation,縮合[作用]；冷凝[作用],,,2018-12-17
3630674,condensation polymer,縮合聚合物,,,2018-12-17
3630675,condensation polymerization,縮聚[作用]；縮合聚合[作用],,,2018-12-17
3630676,condensed phase,凝相,,,2018-12-17
3630677,conductive layer,傳導層,,,2018-12-17
3630678,Condy,康岱　,,,2018-12-17
3630679,Condy's disinfecting fluid,康岱氏消毒液,,,2018-12-17
3630680,conformational isomer,構形異構物,,,2018-12-17
3630681,conjugate acid,共軛酸,,,2018-12-17
3630682,conjugate acid-base pair,共軛酸鹼對,,,2018-12-17
3630683,conjugate base,共軛鹼,,,2018-12-17
3630684,conjugated protein,複合蛋白質,,,2018-12-17
3630685,contact process,接觸法,,,2018-12-17
3630686,coordination compound,配位化合物,,,2018-12-17
3630687,coordination number,配位數,,,2018-12-17
3630688,copolymer,共聚物,,,2018-12-17
3630689,cosmetic,化妝品,,,2018-12-17
3630690,coulomb electrostatic force,庫侖靜電力,,,2018-12-17
3630691,covalent bond,共價鍵,,,2018-12-17
3630692,covalent network solid,共價網狀固體,,,2018-12-17
3630693,covalent radius,共價半徑,,,2018-12-17
3630694,cracking,裂煉；裂解,,,2018-12-17
3630695,Crick,克里克,,,2018-12-17
3630696,critical point,臨界點,,,2018-12-17
3630697,critical pressure,臨界壓力,,,2018-12-17
3630698,critical temperature,臨界溫度,,,2018-12-17
3630699,Crookes,克魯克斯,,,2018-12-17
3630700,Crookes tube,克魯克斯管,,,2018-12-17
3630701,cross linking,交聯,,,2018-12-17
3630702,crown ether,冠醚,,,2018-12-17
3630703,crude oil,原油,,,2018-12-17
3630704,cryolite,冰晶石,,,2018-12-17
3630705,crystal,晶體,,,2018-12-17
3630706,crystal lattice,晶格,,,2018-12-17
3630707,crystal seed,晶種,,,2018-12-17
3630708,crystallization,結晶,,,2018-12-17
3630709,crystalloid,類晶體；似晶體,,,2019-10-28
3630710,cubic closest packing,立方最密堆積,,,2018-12-17
3630711,Curie,居里,,,2018-12-17
3630712,curium,鋦,,,2018-12-17
3630713,Curl,柯爾,,,2018-12-17
3630714,cyclic ethers,環狀醚類,,,2018-12-17
3630715,cyclic hydrocarbon,環烴,,,2018-12-17
3630716,cycloalkane,環烷,,,2018-12-17
3630717,cyclohexane,環己烷,,,2018-12-17
3630718,cyclohexylamine,環己胺,,,2018-12-17
3630719,cyclooxygenase,環氧合酶,,,2018-12-17
3630720,cyclopropane,環丙烷,,,2018-12-17
3630721,cysteine,半胱胺酸,,,2018-12-17
3630722,cystine,胱胺酸,,,2018-12-17
3630723,cytosine,胞嘧啶,,,2018-12-17
3630724,d-block element,d-區元素,,,2018-12-17
3630725,dacron,達克綸,,,2018-12-17
3630726,Dalton,道耳頓,,,2018-12-17
3630727,Dalton's atomic theory,道耳頓原子論,,,2018-12-17
3630728,Dalton's atom theory,道耳頓原子論,,,2018-12-17
3630729,Dalton's law of partial pressure,道耳頓分壓定律,,,2018-12-17
3630730,damaged layer,損傷層,,,2018-12-17
3630731,Daniell,丹尼耳,,,2018-12-17
3630732,Daniell cell,丹尼耳電池,,,2018-12-17
3630733,Davy,戴維,,,2018-12-17
3630734,DDT {dichlorodiphenyltrichloroethane},DDT；二(對氯苯)三氯乙烷；滴滴涕{殺蟲劑},,20220628修訂,2022-07-15
3630735,de Broglie,德布羅意,,,2018-12-17
3630736,Debye,德拜,,,2018-12-17
3630737,Debye relaxation,德拜鬆弛,,,2018-12-17
3630738,decalcifier,脫鈣液,,,2018-12-17
3630739,decantation,傾析,,,2018-12-17
3630740,decomposition,分解,,,2018-12-17
3630741,decomposition reaction,分解反應,,,2018-12-17
3630742,degree of crystallinity,結晶度,,,2018-12-17
3630743,degree of dissociation,解離度,,,2018-12-17
3630744,degree of ionization,游離度,,,2018-12-17
3630745,degree of polymerization,聚合度,,,2018-12-17
3630746,dehydration,脫水[作用],,,2018-12-17
3630747,dehydrohalogenation,脫鹵氫[作用],,,2018-12-17
3630748,deionized water,去離子水,,,2018-12-17
3630749,delocalization,非定域化,,,2018-12-17
3630750,delocalized,非定域,,,2018-12-17
3630751,delocalized electron,非定域電子,,,2018-12-17
3630752,delocalized valence electron,非定域價電子,,,2018-12-17
3630753,Democritus,德謨克利特,,,2018-12-17
3630754,denaturation,變性,,,2018-12-17
3630755,deodorization,去臭,,,2018-12-17
3630756,deoxyribonucleic acid {= DNA},去氧核糖核酸,,,2018-12-17
3630757,deoxyribonucleotide,去氧核糖核苷酸,,,2018-12-17
3630758,deoxyribose,去氧核糖,,,2018-12-17
3630759,depolarizer,去極劑,,,2018-12-17
3630760,deposition,沈積；凝華 {昇華之逆過程},,,2018-12-17
3630761,derivatives,衍生物,,,2018-12-17
3630762,detergent,清潔劑,,,2018-12-17
3630763,Dewar flask,杜瓦瓶,,,2018-12-17
3630764,diamagnetism,反磁性,,,2018-12-17
3630765,diamond,鑽石；金剛石,,,2018-12-17
3630766,diaphragm cell,隔膜電解槽,,,2018-12-17
3630767,diazonaphthoquinone,重氮萘醌,,,2018-12-17
3630768,dibromoethane,二溴乙烷,,,2018-12-17
3630769,dibromomethane,二溴甲烷,,,2018-12-17
3630770,diethyl ether,乙醚,,,2018-12-17
3630771,diffusion,擴散[作用],,,2018-12-17
3630772,digestion,消化；浸提；蒸煮,,,2018-12-17
3630773,dimerization,二聚合[作用],,,2018-12-17
3630774,dimethyl ether,[二]甲醚,,20210927修訂,2021-09-27
